minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents
yes,36,female,more,0.2899157,4.3,upper,yes,yes,24,43
no,59,male,more,-0.7377322,4.5,upper,yes,yes,17,20
no,51,male,more,-0.5719836,3.7,upper,yes,yes,55,55
no,40,female,more,-0.6779634,4.3,upper,yes,yes,40,46
no,31,female,more,1.509794,4.4,upper,yes,yes,42,48
no,62,male,more,0.5885687,4.2,upper,yes,yes,182,282
no,33,female,more,-0.126001,4,upper,yes,yes,33,41
no,51,female,more,-0.25818990000000003,3.4,upper,yes,yes,25,41
no,33,female,more,0.1496926,4.5,upper,yes,yes,48,60
no,47,male,more,0.540917,3.9,upper,yes,no,16,19
yes,35,male,more,0.2316134,3.1,upper,no,yes,18,25
no,37,male,more,-0.0666737,4,upper,yes,no,30,34
no,42,male,more,0.2168924,3.8,upper,yes,yes,28,40
no,49,male,more,-0.2586962,3.4,upper,no,yes,30,36
no,37,female,more,0.5502878,2.9,upper,yes,yes,23,28
no,45,male,more,-0.0620358,4.5,upper,yes,yes,23,33
no,56,female,more,-0.9823852,4,upper,yes,no,27,41
no,48,male,more,-0.054344,3.8,lower,yes,no,100,135
no,46,female,more,-0.0680143,4.3,upper,yes,yes,25,31
no,57,female,more,0.0294137,3.4,upper,yes,no,17,28
no,52,female,more,0.2394859,3.4,upper,yes,no,19,22
yes,29,female,more,-0.8487269,3.3,upper,no,yes,19,26
no,62,male,more,-0.7330914,4.3,upper,yes,yes,30,39
no,64,male,more,-0.1111221,4.4,upper,yes,yes,15,24
no,34,female,more,1.775517,4.6,upper,yes,yes,20,26
no,58,male,more,-0.3218485,4.2,upper,yes,yes,84,159
yes,52,male,more,0.2116939,4,upper,no,yes,13,16
no,73,male,more,-0.717645,3.3,upper,yes,yes,12,17
no,70,male,more,-0.7326927,4.4,upper,yes,yes,47,134
no,41,female,more,0.4081676,2.3,upper,yes,yes,10,12
no,63,male,more,-0.0102077,3.5,upper,yes,no,28,43
no,47,male,more,-0.923957,4.7,upper,yes,yes,10,15
no,39,male,more,0.5766805,3.9,lower,yes,yes,86,246
yes,47,female,more,-0.0836015,4,lower,yes,yes,21,21
no,54,male,more,-1.079558,4.3,upper,yes,yes,15,15
yes,44,female,more,1.040902,3.8,upper,yes,yes,30,55
yes,47,male,more,-1.052108,3.8,upper,yes,yes,20,27
no,62,male,more,-0.7277681,4,upper,yes,yes,12,13
no,60,male,more,-0.3953965,4.6,upper,yes,yes,25,34
no,37,male,more,0.9333959,3.5,upper,yes,yes,15,17
no,42,male,more,-0.2377786,4.7,upper,yes,yes,13,14
no,35,male,more,0.274908,4.2,upper,yes,yes,42,51
no,39,female,more,1.970023,3.4,lower,yes,no,22,24
no,49,male,more,1.05095,3.9,upper,yes,yes,28,45
no,61,male,more,0.2418185,4.5,lower,yes,yes,22,27
no,33,male,more,1.349395,4.7,upper,yes,yes,30,31
no,58,female,more,0.1115635,3.5,upper,yes,yes,26,34
no,56,female,more,-0.2577254,3.7,upper,yes,yes,12,19
no,50,female,more,-0.6562689,4,lower,yes,no,22,27
no,52,male,more,-0.6563948,4.1,upper,yes,yes,57,67
no,33,female,more,0.7244775,4.4,upper,yes,yes,10,15
no,57,male,more,0.6318343,4.2,upper,yes,yes,69,77
no,38,female,more,1.070944,4.5,upper,yes,yes,46,65
no,34,female,more,-1.450494,3.8,lower,yes,yes,54,91
no,34,male,more,1.15588,3.1,upper,yes,yes,24,36
no,32,male,more,-0.3260148,3.7,lower,yes,yes,85,248
no,42,female,more,0.8846435,3.9,lower,yes,yes,44,62
no,43,female,more,-0.5583452,4,lower,yes,yes,35,51
